workdays,days_per_week,hours_per_week,is_remote,is_flexible
شنبه تا چهارشنبه 8:30 تا 17:30- پنج شنبه ها 8:30 تا 12:30,5,58,0,0
شنبه تا چهارشنبه از 8:30 الی 17:20,5,53,0,0
شنبه تا چهارشنبه 8 تا 17 پنجشنبه 8 تا 13,6,63,0,0
شنبه تا چهارشنبه 8:00 الی 17:00و پنجشنبه ها تاظهر,6,63,0,0
شنبه تا چهارشنبه 8 الی 17:30,5,57,0,0
شنبه تا چهارشنبه 8/30 الی 17/00 و روزهای پنج شنبه 8/30 الی 13/00,5,-95,0,0
شنبه تا چهارشنبه از ساعت 8:30 الی 17:30,5,54,0,0
شنبه تا چهار شنبه 8:45 الی :18:15 و پنج شنبه  الی,,,0,0
شنبه تا چهارشنبه 10 الی 17:30 پنج شنبه 16,5,45,0,0
شنبه تا چهارشنبه 8:00 الی 16:00 پنج شنبه ها 8:00 الی 12:00,5,48,0,0
شنبه تا چهارشنبه 7:30 - 16:45,,,0,0
شنبه تا چهارشنبه از ساعت 08:30 تا 17:30,5,54,0,0
شنبه تا چهارشنبه از ساعت 8:30 الی 18:00,5,57,0,0
شنبه تا پنج شنبه ساعت 8:30 الی 18:30,1,10,0,0
6 روز در هفته,,,0,0
شنبه تا چهارشنبه 8:30 تا 17:30 پنج شنبه الی 12:30,5,54,0,0
10 تا 16,,,0,0
شنبه الی چهارشنبه8 الی 19,5,66,0,0
44 ساعت در هفته,,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
شنبه تا چهارشنبه 07:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه 07:30 لغایت 16:00 و دو پنجشنبه در ماه کاری 07:30-12,,,0,0
شنبه تا سه شنبه 7:30 الی 16:30  چهارشنبه ها 7:30 الی 15:30,5,54,0,0
شنبه تا چهارشنبه 7 الی 16,5,54,0,0
شنبه تا چهارشنبه 09:00 تا 17:30 - پنج شنبه 9 تا 13.30 و بعد از 2 ماه امکان دورکاری,5,55,1,0
بر اساس تمام وقت8-17 بر اساس پاره وقت، قابل توافق,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 8 صبح الی 16 و پنج شنبه ها 8 صبح الی 13,,,0,0
17 تا 2 بامداد شنبه تا چهار شنبه,1,-15,0,0
شنبه الی چهارشنبه 8 الی17,5,54,0,0
شنبه تا چهارشنبه ساعت کاری 9 الی 18(پنجشنبه ها یک هفته در میان),6,63,0,0
شنبه تا پنجشنبه از 8 الی17,6,63,0,0
شنبه تا چهارشنبه 8:000الی 17:00,5,102,0,0
ساعت و روز کار منطعف,,,0,0
شنبه تا پنج شنبه طبق وزارت کار,,,0,0
شنبه تا چهارشنبه 8 الی 17:20,5,56,0,0
شنبه تا چهارشنبه 9 الی 17:30 و پنجشنبه 9 الی 13,6,59,0,0
شنبه تا چهارشنبه ساعت 8:30 الی 17 پنجشنبه ها ساعت 8:30 الی 12:30,6,59.5,0,0
شنبه الی چهارشنبه,,,0,0
شنبه تا پنج شنبه طبق ساعات کار موسسه,,,0,0
8 تا 16,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنجشنبه,,,0,0
7:30 الی 16:30,,,0,0
شنبه تا پنجشنبه (از لحاظ زمانی منعطف),,,0,1
شنبه تا چهارشنبه 8 الی 17 و پنجشنبه تعطیل,5,54,0,0
شنبه تا چهارشنبه 8 الی 16:30 پنجشنبه 8 تا 12,6,59.5,0,0
شنبه تا چهارشنبه از 8:30 الی 16:30 - پنج شنبه ها از 8:30 الی 12:30,5,52,0,0
شنبه تا چهارشنبه 8-17,,,0,0
شنبه تا چهارشنبه 9 تا 17 ، پنجشنبه 9-13,5,48,0,0
شنبه تا پنجشنبه 17 تا 22,6,35,0,0
ساعت 8 الی 16,,,0,0
شنبه تا چهارشنبه 8 الی 16:30 پنج شنبه 8 الی 12,5,51,0,0
شنبه تا چهارشنبه  از 8تا 17 و پنجشنبه 13,5,54,0,0
8:30 الی 17:30,,,0,0
شنبه تا چهارشنبه 09:00 تا 17- پنجشنبه 09:00 تا 13:00,6,56,0,0
دلخواه,,,0,0
شنبه تا چهارشنبه 08:30-17:45,,,0,0
شنبه تا پنج شنبه از 8:00 الی 13 / 15:00 الی 18:00,1,5,0,0
شنبه تا چهارشنبه 8:30 الی 17:30,5,54,0,0
8:30 الی 18,,,0,0
Saturday to Wednesday / 08:00 to 17:15,,,0,0
شنبه تا چهارشنبه 7:30 تا 16:30,5,54,0,0
یکشنبه الی پنج شنبه,,,0,0
شنبه تا چهارشنبه/ 7 تا 16,5,54,0,0
شنبه الی پنجشنبه از ساعت 08:00 الی 17:00,6,63,0,0
ندارد,,,0,0
شنبه الی چهارشنبه  16:30- 7:30,,,0,0
شنبه تا چهارشنبه ساعت 7:30 تا 16:30,5,54,0,0
Saturday to Wednesday - 8:00 - 17:30,,,0,0
شنبه تا چهارشنبه,,,0,0
تمام روز هفته 8 صبح تا 20,,,0,0
شنبه تا چهارشنبه 7:30تا 16:30- پنج شنبه 8 تا 12,5,58,0,0
شنبه تا چهارشنبه 8 تا 17 و پنج شنبه 8 تا 12,5,58,0,0
شنبه تا پنج شنبه 9 الی 17,1,8,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
توافقی,,,0,0
شنبه تا چهارشنبه از ساعت 7تا 16 / 8:30 تا 17:30,5,54,0,0
شناور,,,0,0
تمام وقت,,,0,0
شنبه تا چهارشنبه8:30 الی 17,5,51,0,0
,,,0,0
شنبه تا چهارشنبه ساعت 9:00 تا 17 پنج شنبه 9:00 تا 13,5,48,0,0
شنبه تا چهارشنبه 9الی تا 17:30 پنچشنبه 9 الی 14,5,30,0,0
شنبه تا پنج شنبه 7 الی 17 (پنج شنبه ها یکی درمیان تعطیل است),1,10,0,0
Saturday to Wednesday,,,0,0
شنبه تا چهارشنبه 8 الی 16 پنجشنبه 8 الی 12,6,56,0,0
44 ساعت در هفته,,,0,0
شنبه تا چهارشنبه:9 الی 20,5,66,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
متغییر,,,0,0
توافقی,,,0,0
توافقی,,,0,0
شنبه تا چهارشنبه 9:00 الی 17:00، پنج شنبه 9:00 الی 13:00,5,52,0,0
روزهای شنبه تا چهارشنبه از ساعت 7:00 الی 16:00,5,54,0,0
شنبه تا  چهارشنبه 8-17 پنج شنبه 8 الی 12,1,4,0,0
8.30صبح الی6عصر,,,0,0
شنبه تا چهارشنبه 8 الی 16:30 پنج شنبه 8 الی 12 (نیم ساعت شناوری),5,51,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شیفت چرخشی-8 ساعت در روز,,,0,0
شنبه تا چهارشنبه  8 تا 16:30و پنجشنبه ها یک هفته در میان,6,59.5,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 7:30 - 16:00 ، پنجشنبه ها 7:30 - 12:00,,,0,0
شنبه تا چهار شنبه 9 الی 17 - پنج شنبه ها 9 الی 13,1,12,0,0
شنبه تا چهارشنبه از ساعت 8 الی 17,5,54,0,0
شنبه تا چهارشنبه ساعت 7:30 تا 16 پنجشنبه 8 تا 12,6,59.5,0,0
شنبه تا چهارشنبه,,,0,0
Saturday to Wednesday From 9 to 18,,,0,0
شنبه تا چهارشنبه 7 تا 20:30,5,81,0,0
شنبه تا چهارشنبه 8:30 الی 16 و پنجشنبه 8:30 الی 13,6,54,0,0
9 الی 18,,,0,0
شنبه تا چهارشنبه08:00 الی 17:00 و پنج شنبه ها 08:00 الی 12:00,5,58,0,0
شنبه تا چهارشنبه 9 الی 17 پنج شنبه ها تعطیل,5,48,0,0
3 days of the week from 8-16 and 3 days from 16-24,,,0,0
شنبه الی پنجشنبه,,,0,0
شنبه تا چهارشنبه8:00 الی 17:00 - پنج شنبه ها در صورت نیاز,5,54,0,0
-,,,0,0
6 روز کاری 10:00 الی 22:00 و یک روز تعطیلی در هفته,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنجشنبه 8 تا 17,6,63,0,0
شنبه تا چهارشنبه 8-17,,,0,0
منعطف,,,0,1
شنبه تا چهارشنبه 9 الی 17,5,48,0,0
دلخواه,,,0,0
شنبه تا چهارشنبه ساعت 8:30 الی 16:30     پنجشنبه 08:30 الی 12:30,6,56,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهار شنبه از ساعت 8 الی 17 ، پنج شنبه 8 الی 12,1,13,0,0
شنبه تا چهارشنبه 7:30 الی 15:30 پنجشنبه 7:30 الی12:30,6,56,0,0
شنبه تا چهارشنبه از ساعت 7:30 الی 16:30,5,54,0,0
شنبه تا پنج شنبه از ساعت 8:30 الی 16:20,1,7.833333333,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 9 تا 17 - پنج شنبه 9 تا 14,5,53,0,0
شنبه تا چهارشنبه 8:30 تا 17:30,5,54,0,0
شنبه تا چهارشنبه 8:30 صبح الی 17 بعد از ظهر (192 ساعت در ماه),,,0,0
توافقی,,,0,0
شنبه تا  چهارشنبه 8:30 تا 17 . پنج شنبه 8.30 تا 14,5,51,0,0
شنبه تا چهارشنبه 15 تا 23 (یک روز آف) پنج شنبه تا جمعه فول تایم,7,112,0,0
5 روز در هفته در قالب شیفتهای 8 ساعتی/ دو شب در هفته شبکاری,,,0,0
شنبه تا چهارشنبه 8:00  الی 16:30 و پنج شنبه 8:00 الی 12:00,5,55,0,0
شنبه تاپنجشنبه ساعت 9/30تا20/00,6,-70,0,0
ساعت 10 الی19,,,0,0
شنبه تا چهارشنبه ساعت 8 تا 17,5,54,0,0
شنبه تا چهارشنبه ساعت: 8:30 الی 17:30,5,54,0,0
